,0,1
0,AdamWilliams,north-by-northwest
1,CaryGrant,north-by-northwest
2,EdwardPlatt,north-by-northwest
3,EvaMarieSaint,north-by-northwest
4,JamesMason,north-by-northwest
5,JessieRoyceLandis,north-by-northwest
6,JosephineHutchinson,north-by-northwest
7,LeoG.Carroll,north-by-northwest
8,MartinLandau,north-by-northwest
9,PhilipOber,north-by-northwest
10,ToshirôMifune,seven-samurai-re-release
11,AlfredAbel,metropolis-re-release
12,BrigitteHelm,metropolis-re-release
13,BenJohnson,the-wild-bunch
14,EdmondO'Brien,the-wild-bunch
15,EmilioFernández,the-wild-bunch
16,ErnestBorgnine,the-wild-bunch
17,JaimeSánchez,the-wild-bunch
18,L.Q.Jones,the-wild-bunch
19,RobertRyan,the-wild-bunch
20,StrotherMartin,the-wild-bunch
21,WarrenOates,the-wild-bunch
22,WilliamHolden,the-wild-bunch
23,ErrolFlynn,the-adventures-of-robin-hood-re-release
24,OliviadeHavilland,the-adventures-of-robin-hood-re-release
25,Ah-Tsai,dragon-inn-1967
26,ChiehLi,dragon-inn-1967
27,ChienTsao,dragon-inn-1967
28,ChuLiu,dragon-inn-1967
29,ChunShih,dragon-inn-1967
30,FeiKao,dragon-inn-1967
31,FengHsu,dragon-inn-1967
32,HanHsieh,dragon-inn-1967
33,HsiaoPaoKo,dragon-inn-1967
34,LingfengShangguan,dragon-inn-1967
35,MingKao,dragon-inn-1967
36,ShihLu,dragon-inn-1967
37,SimonHsu,dragon-inn-1967
38,YingBai,dragon-inn-1967
39,Ying-ChiehHan,dragon-inn-1967
40,AkiraTerao,ran
41,DaisukeRyû,ran
42,JinpachiNezu,ran
43,TatsuyaNakadai,ran
44,AnthonyMackie,the-hurt-locker
45,BrianGeraghty,the-hurt-locker
46,JeremyRenner,the-hurt-locker
47,ChrisPratt,zero-dark-thirty
48,ÉdgarRamírez,zero-dark-thirty
49,JasonClarke,zero-dark-thirty
50,JenniferEhle,zero-dark-thirty
51,JessicaChastain,zero-dark-thirty
52,JoelEdgerton,zero-dark-thirty
53,MarkStrong,zero-dark-thirty
54,AneurinBarnard,dunkirk
55,BarryKeoghan,dunkirk
56,DamienBonnard,dunkirk
57,FionnWhitehead,dunkirk
58,HarryStyles,dunkirk
59,JackLowden,dunkirk
60,JamesBloor,dunkirk
61,LeeArmstrong,dunkirk
62,MarkRylance,dunkirk
63,TomGlynn-Carney,dunkirk
64,TomHardy,dunkirk
65,MarlonBrando,apocalypse-now
66,MartinSheen,apocalypse-now
67,AndySerkis,the-lord-of-the-rings-the-return-of-the-king
68,OrlandoBloom,the-lord-of-the-rings-the-return-of-the-king
69,AnnRebbot,the-french-connection
70,ArleneFarber,the-french-connection
71,BillHickman,the-french-connection
72,FernandoRey,the-french-connection
73,FrédéricdePasquale,the-french-connection
74,GeneHackman,the-french-connection
75,HaroldGary,the-french-connection
76,MarcelBozzuffi,the-french-connection
77,RoyScheider,the-french-connection
78,TonyLoBianco,the-french-connection
79,MichelleYeoh,crouching-tiger-hidden-dragon
80,Yun-FatChow,crouching-tiger-hidden-dragon
81,ZiyiZhang,crouching-tiger-hidden-dragon
82,AngieDickinson,rio-bravo
83,ClaudeAkins,rio-bravo
84,DeanMartin,rio-bravo
85,EstelitaRodriguez,rio-bravo
86,JohnRussell,rio-bravo
87,JohnWayne,rio-bravo
88,PedroGonzalezGonzalez,rio-bravo
89,RickyNelson,rio-bravo
90,WalterBrennan,rio-bravo
91,WardBond,rio-bravo
92,MarlonBrando,apocalypse-now-redux
93,MartinSheen,apocalypse-now-redux
94,AndySerkis,the-lord-of-the-rings-the-fellowship-of-the-ring
95,ElijahWood,the-lord-of-the-rings-the-fellowship-of-the-ring
96,MattDamon,saving-private-ryan
97,TomHanks,saving-private-ryan
98,CraigT.Nelson,the-incredibles
99,HollyHunter,the-incredibles
100,JasonLee,the-incredibles
101,SamuelL.Jackson,the-incredibles
102,AndrewRobinson,dirty-harry
103,ClintEastwood,dirty-harry
104,HarryGuardino,dirty-harry
105,JohnLarch,dirty-harry
106,JohnMitchum,dirty-harry
